ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,2360,J AND B RARE,5.0101E+12,0.75,1,40,25.99,NA
Wine,France Wine,France Rose Wine,FRANCE,71191,PAYS D'OC ROSE - L'OSTAL CAZES 2018,3.76008E+12,0.75,1,12.5,16.99,0
Wine,France Wine,France Red Wine,FRANCE,95745,PESSEC LEOGNAN - CHATEAU HAUT BRION 2013,,0.75,1,13,800,0
Wine,Chile Wine,Chile Red Wine,CHILE,101226,CHILEAN RED - CLOS APALTA COLCHAGUA 2016,6.2699E+11,1.5,1,15,359.99,NA
Wine,Fortified Wine,Port Wine,PORTUGAL,121749,TAYLOR FLADGATE - 10 YEAR OLD TAWNY,5.01363E+12,0.75,1,20,39.99,10
Wine,Italy Wine,Italy Red Wine,ITALY,311555,BARBERA D'ALBA - BATASIOLO,6.32738E+11,0.75,1,13.5,16.99,0
Spirits,Grape and Fruit Brandy,Brandy,FRANCE,360719,ST. REMY - V.S.O.P.,3.03554E+12,1.75,1,40,57.99,0
Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,389528,SAUVIGNON BLANC - DOG POINT MARLBOROUGH 2019,9.42102E+12,0.75,1,13.5,34.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,480123,BARBARESCO - SOTTIMANO BASARIN,8.03277E+12,0.75,1,14.5,115.99,0
Spirits,Rum,Dark Rum,GUYANA,497206,LEMON HART - PREMIUM DEMERARA,8.14789E+11,0.75,1,40,27.49,NA
Wine,Canada - BC,Canada - BC Sparkling Wine,CANADA,672410,EVOLVE - PINK EFFERVESCENCE,6.2699E+11,0.75,1,12.9,21.49,0
Spirits,Grape and Fruit Brandy,Brandy,CANADA,3830,D'EAUBONNE - V.S.O.P.,48415387460,0.375,1,40,11.49,NA
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,11130,DEWAR'S - WHITE LABEL,6.22154E+11,0.75,1,40,24.99,NA
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,15327,STELLA ARTOIS,62067382222,0.33,6,5,14.49,NA
Wine,Fortified Wine,Other Fortified Import Wine,SOUTH AFRICA,17434,KWV - CAPE TAWNY CLASSIC COLLECTION,7.48294E+11,0.75,1,17.5,11.99,5
Wine,Italy Wine,Italy Red Wine,ITALY,63657,BRUNELLO DI MONTALCINO - MASTROJANNI VIGNA LORETO,8.02395E+12,0.75,1,14.5,149.99,0
Wine,France Wine,France Red Wine,FRANCE,114328,CHATEAU DE FIEUZAL ROUGE 2016,3.76015E+12,0.75,1,13,100,NA
Wine,France Wine,France Red Wine,FRANCE,133403,PAUILLAC - ECHO DE LYNCH BAGES 2018,,0.75,1,13,100,NA
Wine,France Wine,France Red Wine,FRANCE,133788,MARGAUX - CHATEAU BOYD CANTENAC 2018,3.27704E+12,0.75,1,13,110,NA
Wine,France Wine,France Red Wine,FRANCE,189194,PAUILLAC - CHATEAU LAFITE ROTHSCHILD 1999,3.44882E+12,0.75,1,12.5,2600,0
Wine,France Wine,France Red Wine,FRANCE,209885,NUITS ST GEORGES LES ARGILLATS - PHILIPPE GAVIGNE 2019,6.2699E+11,0.75,1,13.5,97.99,0
Wine,Chile Wine,Chile Rose Wine,CHILE,237251,ROSE - ISLA NEGRA WEST BAY,7.80432E+12,0.75,1,12,11.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,256936,BRUNELLO DI MONTALCINO - PERTIMALI DIECI,6.2699E+11,0.75,1,13.5,175.99,0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,308387,SLEEMAN - ORIGINAL DRAUGHT CAN,56910201242,0.355,24,5,37.79,NA
Wine,Italy Wine,Italy Red Wine,ITALY,351806,BOLGHERI SUPERIORE - ORNELLAIA 2018,8.18201E+11,3,1,14,1283,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,414946,PETITE SIRAH - MICHAEL DAVID PETITE PETIT LODI 2017,6.52935E+11,0.75,1,14.5,26.99,0
Spirits,Whisky,Canadian Whisky,CANADA,481113,J.P. WISER'S - WHISKY BLENDING KIT,48415541084,0.2,5,40,39.99,NA
Wine,France Wine,France Red Wine,FRANCE,485373,MADIRAN - BRUMONT CHATEAU MONTUS 2016,3.37222E+12,0.75,1,14,38.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,522006,BLACK CELLAR - MALBEC MERLOT,48162018525,4,1,13,38.99,1
Wine,France Wine,France Red Wine,FRANCE,738633,MEDOC - CHATEAU LA BRAVOURE DE LA TOUR CARNET 2010,3.2844E+12,0.75,1,14.5,52.99,0
Wine,France Wine,France Red Wine,FRANCE,759944,CHATEAU COS D'ESTOURNEL 2006,,0.75,1,13,215.99,0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,906578,COORS LIGHT,56327182554,0.341,12,4,22.99,NA
Wine,France Wine,France Red Wine,FRANCE,11043,CHINON - DOMAINE DE L'R LE CANAL DES GRANDS PIECES 2019,3.7601E+12,0.75,1,13.5,34.99,0
Wine,France Wine,France White Wine,FRANCE,42727,MERCUREY BLANC - MICHEL JUILLOT CHARDONNAY 2018,3.50803E+12,0.75,1,13,49.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,68219,BAROLO - AZELIA BRICCO FIASCO 2015,8.0328E+12,0.75,1,13.5,145.99,0
Spirits,Liqueurs,Cream/Dairy Liqueurs,CANADA,74755,FORTY CREEK - NANAIMO BAR CREAM,69321004708,0.75,1,15,29.99,NA
Spirits,Grape and Fruit Brandy,Armagnac,FRANCE,113050,MARCEL TREPOUT ET FILS 1981,3.56212E+12,0.7,1,42,154.97,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,172825,SHIRAZ - FULLGLASS WINES SKULLS 2017,8.11676E+11,0.75,1,14.9,20.99,0
Spirits,Whisky,Canadian Whisky,CANADA,173503,J.P. WISER'S RARE CASK SERIES SEVEN REBELS - CANADIAN WHISKY,48415540933,0.75,1,42.8,69.99,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,351395,BLACK CELLAR - MALBEC MERLOT,48162014039,0.75,1,13,9.99,2
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,86213,TOBERMORY - 12 YO,5.0297E+12,0.75,1,46.3,96.99,NA
Spirits,Vodka,Straight Vodka,POLAND,89201,WYBOROWA RYE GRAIN,5.90069E+12,1.14,1,40,34.49,NA
Wine,France Wine,France White Wine,FRANCE,203442,BARSAC - CHATEAU DOISY DAENE 2017,7.14153E+11,0.375,1,13,45,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,240242,BLASTED CHURCH - BIG BANG 2020,6.2699E+11,0.75,1,12.9,21.99,0
Spirits,Rum,White Rum,CANADA,486621,BACARDI - SUPERIOR WHITE PET,6.20213E+11,1.14,1,40,33.49,0
Wine,France Wine,France Red Wine,FRANCE,54145,PAUILLAC - CARRUADES DE LAFITE 2018,,0.75,1,13,550,NA
Wine,France Wine,France Red Wine,FRANCE,123081,ST EMILION - CHATEAU PAVIE 2018,,0.75,1,13,1000,NA
Wine,France Wine,France Red Wine,FRANCE,178307,MARAGAUX - CHATEAU D'ISSAN 2017,3.27704E+12,0.75,1,13,140,NA
Wine,Canada - BC,Canada - BC Dessert Wine,CANADA,197244,WHISTLER - LATE HARVEST CHARDONNAY 2018,6.2699E+11,0.375,1,13.1,19.99,7
Wine,France Wine,France White Wine,FRANCE,207776,BARSAC - CHATEAU DOISY DAENE 2017,3.76002E+12,0.375,1,13,45,NA
Wine,France Wine,France Red Wine,FRANCE,227149,PAUILLAC - CHATEAU LAFITE ROTHSCHILD 2017,,0.75,1,13,1500,NA
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,287474,WHYTE AND MACKAY - SPECIAL,5.01397E+12,1.14,1,40,39.99,NA
Wine,France Wine,France Red Wine,FRANCE,300459,CHATEAU CANON LA GAFFELIERE 2014,7.14153E+11,0.75,1,13.5,130,0
Spirits,Whisky,Other Country Whisky,JAPAN,361943,KUJIRA RYUKYU WHISKY - BOURBON CASK 20YO,4.995E+12,0.7,1,43,340,NA
Wine,France Wine,France Red Wine,FRANCE,374330,LE PETIT MOUTON 2014,6.2699E+11,0.75,1,13,220,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,405084,GLENMORANGIE - 12 YEAR OLD QUINTA RUBAN PORT CASK FINISH,5.01049E+12,0.75,1,46,93.99,NA
